sample_id,material,N,R,segment,T_low_K,T_high_K,T_mid_K,Ea_eV,r_squared
S8-3-28-1-1,S8,3.3986666666666667,0.06412142500696691,3,226.61666666666667,254.56666666666666,240.59166666666667,0.7732657708382784,0.9968866308756109
S8-3-28-1-1,S8,3.3986666666666667,0.06412142500696691,4,185.31666666666666,223.55,204.43333333333334,0.9813485584304942,0.999358547409716
S8-3-29-1-1,S8,1.182,0.0,1,267.85,300.0,283.925,0.2317970879458667,0.8825693748576665
S8-3-3-1,S8,3.6453333333333333,0.1712623980890066,1,241.15,300.0,270.575,0.16363330085952763,0.9397636711999983
S8-3-3-1,S8,3.6453333333333333,0.1712623980890066,2,185.5,232.85,209.175,0.6543130629261986,0.9630339335007229
S8-3-31-1-1,S8,4.9068,0.3340714749983821,1,274.4,300.0,287.2,0.09353456358769166,0.9871111374566841
S8-3-31-1-1,S8,4.9068,0.3340714749983821,2,251.66666666666666,271.53333333333336,261.6,0.1753330796233482,0.9947993775920964
S8-3-31-1-1,S8,4.9068,0.3340714749983821,3,221.0,248.86666666666667,234.93333333333334,0.3307768560975357,0.9931633233120329
S8-3-31-1-1,S8,4.9068,0.3340714749983821,4,173.23333333333335,218.21666666666667,195.72500000000002,0.7678022904394656,0.9917458923041418
S8-3-32-1-1,S8,5.320666666666667,0.3584084621201487,1,277.3333333333333,300.0,288.66666666666663,0.07821414720923345,0.9711890471604803
S8-3-32-1-1,S8,5.320666666666667,0.3584084621201487,2,254.55,274.46666666666664,264.5083333333333,0.17445119403155693,0.9927150321057421
S8-3-32-1-1,S8,5.320666666666667,0.3584084621201487,3,221.01666666666665,251.75,236.38333333333333,0.3808487977636519,0.9908435343902665
S8-3-32-1-1,S8,5.320666666666667,0.3584084621201487,4,179.83333333333331,218.26666666666665,199.04999999999998,0.9337083650112883,0.9886624432368121
S8-3-33-1-1,S8,4.418266666666667,0.0641214250069669,1,288.6333333333333,300.0,294.31666666666666,0.030061956812145848,0.9798226645574498
S8-3-33-1-1,S8,4.418266666666667,0.0641214250069669,2,271.6166666666667,285.78333333333336,278.70000000000005,0.07685243820257939,0.9969216692533945
S8-3-33-1-1,S8,4.418266666666667,0.0641214250069669,3,246.13333333333333,268.75,257.44166666666666,0.2873404686076035,0.9601726954597831
S8-3-33-1-1,S8,4.418266666666667,0.0641214250069669,4,182.91666666666669,243.38333333333333,213.15,0.6502298775738106,0.978854909666531
S8-3-35-1-1,S8,4.0,0.2996777658431794,1,283.3833333333333,300.0,291.69166666666666,0.2420023544623153,0.9914066789534526
S8-3-35-1-1,S8,4.0,0.2996777658431794,2,261.1666666666667,280.56666666666666,270.8666666666667,0.35182717897406035,0.998388776289885
S8-3-35-1-1,S8,4.0,0.2996777658431794,3,235.83333333333331,258.43333333333334,247.13333333333333,0.5411276201216283,0.993753964506586
S8-3-35-1-1,S8,4.0,0.2996777658431794,4,200.35,232.48333333333335,216.41666666666669,1.0004676081351822,0.9896760812318802
S8-3-37-1-1,S8,4.888888888888889,0.2996777658431794,1,244.66666666666666,300.0,272.3333333333333,0.07252140337227897,0.5277564866041022
S8-3-37-1-1,S8,4.888888888888889,0.2996777658431794,2,221.06666666666666,241.88333333333333,231.475,0.5427896712508093,0.997981176764528
S8-3-37-1-1,S8,4.888888888888889,0.2996777658431794,3,184.76666666666665,211.63333333333333,198.2,1.1327695683501604,0.987127962108853
S8-3-38-1-1,S8,5.555555555555555,0.29967776584317934,1,271.48333333333335,300.0,285.7416666666667,0.08236663865623892,0.9882653789565254
S8-3-38-1-1,S8,5.555555555555555,0.29967776584317934,2,249.06666666666666,268.68333333333334,258.875,0.1692269138616624,0.9938560325236032
S8-3-38-1-1,S8,5.555555555555555,0.29967776584317934,3,215.78333333333333,246.26666666666665,231.02499999999998,0.3581964291073085,0.9910074642123086
S8-3-38-1-1,S8,5.555555555555555,0.29967776584317934,4,173.53333333333333,213.03333333333333,193.28333333333333,0.9065938301501094,0.9900442888025316
