sample_id,R,N,n_temperature_points,temperature_min_K,temperature_max_K,sigma_299K_interp_S_cm,sigma_273K_interp_S_cm,sigma_253K_interp_S_cm,sigma_233K_interp_S_cm,sigma_213K_interp_S_cm,sigma_193K_interp_S_cm,max_sigma_S_cm,min_sigma_S_cm,best_arrhenius_ea_eV,best_arrhenius_ln_sigma0,best_arrhenius_r2,has_arc_visible,has_semicircle_visible,quality_flags
S8-3-32-1-1,0.3584084621201487,5.320666666666667,37,196.15,299.15,0.02005084250802458,0.01447517537560239,0.007679678735895418,0.002034624718324447,0.00019365102057310418,,0.0200541553057585,2.9586971104738574e-06,0.3696057062952255,11.507980363069873,0.8986294552810711,True,True,[]
S8-3-33-1-1,0.0641214250069669,4.418266666666667,37,193.15,299.15,0.017835867569901357,0.014434094515169454,0.006646486369534278,0.0009106633557062432,0.0001004240428620451,,0.0178434944277891,1.3820984793997095e-06,0.41511670209027857,13.299213084786011,0.9304075329378021,False,False,[]
S8-3-35-1-1,0.2996777658431794,4.0,29,216.15,299.15,0.004675483797131525,0.0016036380478041644,0.00043735810315026345,4.340647851024711e-05,,,0.0046926681815422,1.832477008161941e-06,0.49131832355283045,14.352910834156441,0.9586867782006615,False,False,[]
S8-3-37-1-1,0.2996777658431794,4.888888888888889,13,233.15,267.15,,,0.0003203530220400077,,,,0.0006336962268296,5.867723901969652e-05,0.3641314323294216,8.570832881245689,0.987879006056831,False,False,['missing_low_temperature_coverage']
S8-3-38-1-1,0.2996777658431793,5.555555555555555,39,189.15,299.15,0.014413948981583569,0.010577825705980409,0.006320243534525122,0.0021561917930615344,0.000318101095602175,3.986188699833464e-06,0.0144272433193879,1.3659386547172075e-06,0.34591510339466996,10.286489334953329,0.8850301064329762,False,False,[]
S8-3-4-1,0.0641214250069669,3.3986666666666667,7,199.15,249.15,,,,0.002275959002193695,0.0001955557272364271,,0.0075429903303863,5.895986177593824e-06,0.5903370135632503,23.160370105348676,0.9569233026064035,False,False,[]
S8-3-5-1,0.6367153877711904,4.532666666666667,13,199.15,299.15,0.009820013672625291,0.0073720287977461635,0.00328800078551955,0.0008887019053653188,8.352913034464994e-05,,0.0098232633921531,2.3043303180855306e-06,0.38472945930537117,11.366757112003686,0.8967381386317836,False,False,[]
S8-3-6-1,0.3797497505181546,4.566933333333333,19,198.15,299.15,0.014127757320876936,0.009833826803681393,0.004775641969698175,0.0013850020995094454,0.00020407917645371885,,0.0141370413150734,9.116939973024542e-06,0.33340883102265406,9.516908879587353,0.9262442838181036,False,False,[]
S8-3-6-2,0.3797497505181546,4.566933333333333,35,201.15,299.15,0.009122799818290969,0.005248618232973907,0.002127356513182161,0.00046865766570870564,3.3266113714016356e-05,,0.0091317259983597,1.996905760837529e-06,0.3972619069347558,11.59447721395785,0.9324790602565193,False,False,[]
S8-3-6-3,0.3797497505181546,4.566933333333333,14,190.15,299.15,0.015596975778392946,0.012185850625155875,0.006767933436810956,0.002334037972874868,0.0004615547818930453,9.235085153956329e-06,0.0156056812152214,3.580890530242572e-06,0.3275586526287468,9.564999770778686,0.8876967950692497,False,False,[]
S8-3-7-1,0.3865699438677832,5.838000000000001,37,195.15,299.15,0.010213082407995688,0.00635191347888038,0.002764924419045889,0.0007629099705018087,8.03962736598924e-05,,0.0102268327642042,1.5923556833870456e-06,0.3730835754371505,10.807198247507879,0.9283408829743478,True,True,[]
S8-3-7-2,0.3865699438677832,5.838000000000001,13,199.15,299.15,0.009540872429963763,0.007356684347472514,0.0037642144300434133,0.0012019371574748202,0.0001745461023475935,,0.0095433081233834,1.3905139523760282e-05,0.3123630961872425,8.290024570689946,0.9191674557657478,True,True,[]
S8-3-8-2,0.3865699438677832,7.005600000000001,38,191.15,299.15,0.02007222003330123,0.015250298366139543,0.008031072252478405,0.0019228876406226598,0.0001471135298134949,4.100266984853144e-07,0.0201262664199029,1.5620668101046808e-07,0.44021835555662714,14.65782675783114,0.8702608529743097,True,True,[]
S8-3-9-2,0.2941272648899327,4.2860000000000005,35,201.15,299.15,0.009879516589363905,0.00587261289297793,0.0024587951495862593,0.0006013904301160811,3.9431551366299245e-05,,0.0099091360516551,3.2136122666817563e-06,0.3820116789794882,11.059402816432199,0.9330486579825021,False,False,[]
S8-3-9-3,0.2941272648899327,4.2860000000000005,40,188.15,299.15,0.017193581372473163,0.012894735669406507,0.008090668184648157,0.0031089339478530234,0.0005560239479861858,1.562760578767441e-05,0.0172119954836192,3.68297989010258e-06,0.3117647775112827,9.030343655362058,0.8939342080635895,False,False,[]
S8-3-9-4,0.2941272648899327,4.2860000000000005,8,203.15,299.15,0.010622974978421344,0.008395241312147458,0.004580354721087924,0.0016024900187368769,0.00022696361499922204,,0.0106274935757783,3.832155680339519e-05,0.29087705976974687,7.484273171399701,0.9025264304308477,False,False,[]
