row_id,sample_id,valid_sigma,valid_temperature,valid_geometry,valid_eis,flags
371,S8-3-20-1-1,True,True,True,True,[]
372,S8-3-20-1-1,True,True,True,True,[]
373,S8-3-20-1-1,True,True,True,True,[]
374,S8-3-20-1-1,True,True,True,True,[]
375,S8-3-20-1-1,True,True,True,True,[]
376,S8-3-20-1-1,True,True,True,True,[]
377,S8-3-20-1-1,True,True,True,True,[]
378,S8-3-20-1-1,True,True,True,True,[]
379,S8-3-20-1-1,True,True,True,True,[]
380,S8-3-20-1-1,True,True,True,True,[]
381,S8-3-20-1-1,True,True,True,True,[]
382,S8-3-20-1-1,True,True,True,True,[]
383,S8-3-20-1-1,True,True,True,True,[]
384,S8-3-20-1-1,True,True,True,True,[]
385,S8-3-20-1-1,True,True,True,True,[]
386,S8-3-20-1-1,True,True,True,True,[]
387,S8-3-20-1-1,True,True,True,True,[]
388,S8-3-20-1-1,True,True,True,True,[]
389,S8-3-20-1-1,True,True,True,True,[]
390,S8-3-20-1-1,True,True,True,True,[]
391,S8-3-20-1-1,True,True,True,True,[]
392,S8-3-20-1-1,True,True,True,True,[]
393,S8-3-20-1-1,True,True,True,True,[]
394,S8-3-20-1-1,True,True,True,True,[]
395,S8-3-20-1-1,True,True,True,True,[]
396,S8-3-20-1-1,True,True,True,True,[]
397,S8-3-20-1-1,True,True,True,True,[]
398,S8-3-20-1-1,True,True,True,True,[]
399,S8-3-20-1-1,True,True,True,True,[]
400,S8-3-21-1-1,True,True,True,True,[]
401,S8-3-21-1-1,True,True,True,True,[]
402,S8-3-21-1-1,True,True,True,True,[]
403,S8-3-21-1-1,True,True,True,True,[]
404,S8-3-21-1-1,True,True,True,True,[]
405,S8-3-21-1-1,True,True,True,True,[]
406,S8-3-21-1-1,True,True,True,True,[]
407,S8-3-21-1-1,True,True,True,True,[]
408,S8-3-21-1-1,True,True,True,True,[]
409,S8-3-21-1-1,True,True,True,True,[]
410,S8-3-21-1-1,True,True,True,True,[]
411,S8-3-21-1-1,True,True,True,True,[]
412,S8-3-21-1-1,True,True,True,True,[]
413,S8-3-21-1-1,True,True,True,True,[]
414,S8-3-21-1-1,True,True,True,True,[]
415,S8-3-21-1-1,True,True,True,True,[]
416,S8-3-21-1-1,True,True,True,True,[]
417,S8-3-21-1-1,True,True,True,True,[]
418,S8-3-21-1-1,True,True,True,True,[]
419,S8-3-21-1-1,True,True,True,True,[]
420,S8-3-21-1-1,True,True,True,True,[]
421,S8-3-21-1-1,True,True,True,True,[]
422,S8-3-21-1-1,True,True,True,True,[]
423,S8-3-21-1-1,True,True,True,True,[]
424,S8-3-21-1-1,True,True,True,True,[]
425,S8-3-21-1-1,True,True,True,True,[]
426,S8-3-21-1-1,True,True,True,True,[]
427,S8-3-21-1-1,True,True,True,True,[]
428,S8-3-21-1-1,True,True,True,True,[]
429,S8-3-21-1-1,True,True,True,True,[]
430,S8-3-21-1-1,True,True,True,True,[]
431,S8-3-21-1-1,True,True,True,True,[]
432,S8-3-21-1-1,True,True,True,True,[]
433,S8-3-21-1-1,True,True,True,True,[]
434,S8-3-21-1-1,True,True,True,True,[]
435,S8-3-21-1-1,True,True,True,True,[]
436,S8-3-22-1-1,True,True,True,True,[]
437,S8-3-22-1-1,True,True,True,True,[]
438,S8-3-22-1-1,True,True,True,True,[]
439,S8-3-22-1-1,True,True,True,True,[]
440,S8-3-22-1-1,True,True,True,True,[]
441,S8-3-22-1-1,True,True,True,True,[]
442,S8-3-22-1-1,True,True,True,True,[]
443,S8-3-22-1-1,True,True,True,True,[]
444,S8-3-22-1-1,True,True,True,True,[]
445,S8-3-22-1-1,True,True,True,True,[]
446,S8-3-22-1-1,True,True,True,True,[]
447,S8-3-22-1-1,True,True,True,True,[]
448,S8-3-22-1-1,True,True,True,True,[]
449,S8-3-22-1-1,True,True,True,True,[]
450,S8-3-22-1-1,True,True,True,True,[]
451,S8-3-22-1-1,True,True,True,True,[]
452,S8-3-22-1-1,True,True,True,True,[]
453,S8-3-22-1-1,True,True,True,True,[]
454,S8-3-22-1-1,True,True,True,True,[]
455,S8-3-22-1-1,True,True,True,True,[]
456,S8-3-22-1-1,True,True,True,True,[]
457,S8-3-22-1-1,True,True,True,True,[]
458,S8-3-22-1-1,True,True,True,True,[]
459,S8-3-22-1-1,True,True,True,True,[]
460,S8-3-22-1-1,True,True,True,True,[]
461,S8-3-22-1-1,True,True,True,True,[]
462,S8-3-22-1-1,True,True,True,True,[]
463,S8-3-22-1-1,True,True,True,True,[]
464,S8-3-22-1-1,True,True,True,True,[]
465,S8-3-22-1-1,True,True,True,True,[]
466,S8-3-22-1-1,True,True,True,True,[]
467,S8-3-22-1-1,True,True,True,True,[]
468,S8-3-22-1-1,True,True,True,True,[]
469,S8-3-22-1-1,True,True,True,True,[]
470,S8-3-22-1-1,True,True,True,True,[]
471,S8-3-22-1-1,True,True,True,True,[]
472,S8-3-23-2-1,True,True,True,True,[]
473,S8-3-23-2-1,True,True,True,True,[]
474,S8-3-23-2-1,True,True,True,True,[]
475,S8-3-23-2-1,True,True,True,True,[]
476,S8-3-23-2-1,True,True,True,True,[]
477,S8-3-23-2-1,True,True,True,True,[]
