T_avg_K,delta_Ea,fitted,residual,std_residual
274.55,-0.0449764710997696,0.02422099327288807,-0.06919746437265767,-0.4823259906800729
219.525,0.0969678777898158,0.1414971742301368,-0.044529296440321,-0.3103818501816525
270.625,-0.04766564127924,0.03258644552654011,-0.08025208680578011,-0.5593798504564258
209.175,0.12810757756575,0.1635563922747988,-0.03544881470904879,-0.24708831209330073
282.95,0.0055532829438298,0.006317859787365321,-0.0007645768435355213,-0.005329317871003224
243.56666666666663,-0.0729068047245683,0.09025655904587782,-0.1631633637704461,-1.1372950119884715
205.13333333333333,0.0608330787039388,0.17217049916019417,-0.11133742045625536,-0.7760534595910178
288.80833333333334,0.0732698685446414,-0.006168154935176862,0.07943802347981826,0.5537055977402235
263.7583333333333,0.0147637668688791,0.04722154670914991,-0.03245777984027081,-0.2262399490886583
234.75833333333333,0.0092053906687787,0.10902998374250228,-0.09982459307372357,-0.6958057811081271
197.66666666666663,0.3606825521938652,0.18808439559177004,0.17259815660209515,1.2030581991318503
266.1,-0.0578499723305574,0.04223069302915794,-0.10008066535971534,-0.6975906777101404
200.075,0.0759957048647806,0.1829514535507818,-0.10695574868600119,-0.7455119622025986
292.93333333333334,0.1380529358535752,-0.014959872271817498,0.1530128081253927,1.066542754635699
256.6083333333333,-0.0560206609995488,0.06246052342599384,-0.11848118442554265,-0.8258475245167926
217.50833333333333,-0.0849329643770396,0.14579534715027226,-0.23072831152731185,-1.6082418979404722
196.15833333333333,0.2749025644485739,0.19129914475930926,0.08360341968926466,0.5827395930102888
243.625,0.0011969173131795,0.09013223173000606,-0.08893531441682656,-0.6199044144381868
287.26666666666665,-0.005852500592972,-0.0028823615871393926,-0.002970139005832607,-0.020702712901887767
261.7166666666667,-0.0629195933323134,0.051573002764658926,-0.11449259609697232,-0.7980459304203358
233.7333333333333,-0.0056585255273737,0.11121459229281916,-0.11687311782019286,-0.8146388433095176
197.75833333333333,0.4756694066832427,0.1878890240954002,0.2877803825878425,2.00591104585066
279.0083333333333,0.0580566750030044,0.0147188341312664,0.043337840871738,0.30207706628995895
248.35,-0.0061328071930148,0.08006171914439952,-0.08619452633741433,-0.6008003426686294
231.6833333333333,-0.011497694788604,0.11558380939345264,-0.12708150418205663,-0.8857941971923464
203.825,0.2677349444081345,0.17495898324474485,0.09277596116338965,0.6466748136671534
284.3416666666667,-0.0065187239939257,0.0033517652515693275,-0.009870489245495027,-0.06880011496073764
256.025,-0.1195207255790699,0.06370379658471059,-0.1832245221637805,-1.2771269868155462
226.8083333333333,-0.128769968655292,0.1259740207913007,-0.2547439894465927,-1.7756379976283054
187.625,0.1786270905027298,0.20948645496682444,-0.030859364464094652,-0.21509853969133566
