sample_id,T_avg_K,Ea_eV,Ea_bulk,delta_Ea,temp_region
S8-3-37-1-1,231.475,0.5427896712508093,0.4474898440540739,0.0952998271967354,Mid
S8-3-37-1-1,198.2,1.1327695683501604,0.6578719621826046,0.4748976061675558,Low
S8-3-38-1-1,285.7416666666667,0.0823666386562389,0.0767263869200373,0.0056402517362015,High
S8-3-38-1-1,258.875,0.1692269138616624,0.2645724894842201,-0.0953455756225577,Mid
S8-3-38-1-1,231.025,0.3581964291073085,0.4504209891184599,-0.0922245600111514,Mid
S8-3-38-1-1,193.28333333333333,0.9065938301501094,0.6878643768650461,0.2187294532850633,Low
S8-3-4-1,274.55,0.0937941941404422,0.1387706652402118,-0.0449764710997696,High
S8-3-4-1,219.525,0.6035222890008569,0.5065544112110411,0.0969678777898158,Low
S8-3-5-1,270.625,0.1890772675116994,0.2367429087909394,-0.04766564127924,High
S8-3-5-1,209.175,0.7724973568531761,0.644389779287426,0.12810757756575,Low
S8-3-6-1,282.95,0.111747732463103,0.1061944495192731,0.0055532829438298,High
S8-3-6-1,243.56666666666663,0.3046786813668551,0.3775854860914234,-0.0729068047245683,Mid
S8-3-6-1,205.13333333333333,0.6858490953266501,0.6250160166227112,0.0608330787039388,Low
S8-3-6-2,288.80833333333334,0.1375512371811573,0.0642813686365158,0.0732698685446414,High
S8-3-6-2,263.7583333333333,0.2554645647891591,0.2407007979202799,0.0147637668688791,Mid
S8-3-6-2,234.75833333333333,0.4450175737643332,0.4358121830955545,0.0092053906687787,Mid
S8-3-6-2,197.66666666666663,1.0317728029170603,0.6710902507231951,0.3606825521938652,Low
S8-3-6-3,266.1,0.1666688091984423,0.2245187815289997,-0.0578499723305574,Mid
S8-3-6-3,200.075,0.7322958903366379,0.6563001854718572,0.0759957048647806,Low
S8-3-7-1,292.93333333333334,0.1734803702232686,0.0354274343696933,0.1380529358535752,High
S8-3-7-1,256.6083333333333,0.2346070120935468,0.2906276730930957,-0.0560206609995488,Mid
S8-3-7-1,217.50833333333333,0.463219018677309,0.5481519830543486,-0.0849329643770396,Low
S8-3-7-1,196.15833333333333,0.956157315502396,0.681254751053822,0.2749025644485739,Low
S8-3-7-2,243.625,0.379311056531261,0.3781141392180815,0.0011969173131795,Mid
S8-3-8-2,287.26666666666665,0.0703975050563821,0.0762500056493541,-0.005852500592972,High
S8-3-8-2,261.7166666666667,0.1927481374365388,0.2556677307688522,-0.0629195933323134,Mid
S8-3-8-2,233.7333333333333,0.4377917981526663,0.44345032368004,-0.0056585255273737,Mid
S8-3-8-2,197.75833333333333,1.1471332380519896,0.6714638313687469,0.4756694066832427,Low
S8-3-9-2,279.0083333333333,0.182056994277128,0.1240003192741235,0.0580566750030044,High
S8-3-9-2,248.35,0.3291335327043417,0.3352663398973565,-0.0061328071930148,Mid
S8-3-9-2,231.6833333333333,0.4340257466994281,0.4455234414880322,-0.011497694788604,Mid
S8-3-9-2,203.825,0.8903307895735086,0.6225958451653741,0.2677349444081345,Low
S8-3-9-3,284.3416666666667,0.0796120061217424,0.0861307301156681,-0.0065187239939257,High
S8-3-9-3,256.025,0.1638844225186173,0.2834051480976872,-0.1195207255790699,Mid
S8-3-9-3,226.8083333333333,0.3483922082358694,0.4771621768911614,-0.128769968655292,Low
S8-3-9-3,187.625,0.9000370775570703,0.7214099870543405,0.1786270905027298,Low
