frequency_hz,z_real_ohm_cm2,z_imag_ohm_cm2,sample_id,target_temperature_C,actual_temperature_C,source_file
4.16667,307.348999,-767.296021,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
3.30882,369.412994,-905.872986,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
2.61628,441.713013,-1073.400024,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
2.07373,523.586975,-1271.880005,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
1.64234,617.200989,-1511.089966,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
1.30058,725.03302,-1797.01001,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
1.03211,849.228027,-2140.97998,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
0.815217,988.299011,-2558.340088,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
0.646552,1145.030029,-3062.129883,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
0.511364,1281.540039,-3692.659912,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
0.407609,1475.329956,-4422.180176,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
0.321429,1704.359985,-5439.529785,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
0.254525,1956.380005,-6571.049805,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
0.201613,2226.830078,-7981.819824,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
0.159574,2527.26001,-9733.69043,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
0.126689,2896.209961,-11712.900391,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
0.100446,3201.370117,-14748.5,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
